"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"265",605137,"Bell, Josh","2182","12.1","0.313","0.267","0.262","0.580","0.370","0.393","0.338","82","262","91.1","6.4","2124","86.0","85.44","0","265","0","-0.6","6.29","112","155","125","150","303","325","302"
"265",660271,"Ohtani, Shohei","2586","10.2","0.399","0.517","0.310","0.916","0.538","0.567","0.416","105","263","92.3","17.2","2165","85.7","85.00","0","265","0","-0.7","6.24","115","155","130","151","299","328","307"
"263",425877,"Molina, Yadier","1669","15.8","0.307","0.142","0.285","0.448","0.319","0.334","0.305","80","261","87.4","15.3","2207","86.3","85.72","0","263","0","-0.6","6.26","110","154","120","148","305","323","292"
"262",543068,"Cron, C.J.","2191","12.0","0.338","0.308","0.287","0.646","0.409","0.402","0.328","88","260","87.7","16.5","2208","85.8","85.69","0","262","0","-0.1","6.22","107","153","120","147","310","334","302"
"262",669256,"Solak, Nick","2054","12.8","0.319","0.131","0.305","0.450","0.327","0.336","0.313","83","260","86.6","6.4","2173","86.0","85.92","0","262","0","-0.1","6.25","107","152","117","147","306","324","290"
"262",656976,"Smith, Pavin","2076","12.6","0.360","0.176","0.339","0.536","0.380","0.347","0.325","94","261","85.6","6.7","2152","87.0","86.62","0","262","0","-0.4","6.28","117","153","121","151","294","323","305"
"262",640457,"Meadows, Austin","2366","11.1","0.281","0.285","0.221","0.566","0.345","0.353","0.306","72","256","88.1","19.7","2162","86.7","86.06","0","262","0","-0.6","6.37","116","160","130","151","294","326","301"
"262",444482,"Peralta, David","2062","12.7","0.288","0.208","0.267","0.496","0.327","0.301","0.281","75","260","88.4","4.2","2128","86.2","85.52","0","262","0","-0.7","6.29","116","154","124","150","294","323","306"
"261",571771,"Hernández, Enrique","2265","11.5","0.293","0.246","0.253","0.539","0.342","0.370","0.317","75","256","89.8","17.6","2167","86.0","85.69","0","261","0","-0.3","6.25","107","152","118","146","291","322","295"
"258",608385,"Winker, Jesse","1895","13.6","0.368","0.306","0.321","0.674","0.437","0.412","0.350","95","258","90.1","11.0","2156","86.0","86.13","0","258","0","0.1","6.28","114","159","129","150","295","325","304"
"258",650333,"Arraez, Luis","1975","13.1","0.332","0.095","0.320","0.427","0.320","0.337","0.329","84","253","88.2","10.5","2154","86.9","86.61","0","258","0","-0.3","6.27","114","149","110","150","282","314","299"
"257",621563,"Wendle, Joey","1857","13.8","0.353","0.239","0.321","0.592","0.395","0.346","0.318","90","255","86.7","6.5","2210","86.0","86.03","0","257","0","0.0","6.36","113","150","112","149","288","322","302"
"257",592743,"Simmons, Andrelton","1644","15.6","0.257","0.070","0.251","0.327","0.251","0.262","0.269","66","257","84.0","4.7","2230","85.6","85.58","0","257","0","0.0","6.17","107","152","111","146","297","317","284"
"257",622534,"Margot, Manuel","1706","15.1","0.303","0.181","0.272","0.484","0.331","0.343","0.313","77","254","86.9","10.9","2150","86.0","86.07","0","257","0","0.1","6.42","104","151","110","147","303","325","290"
"256",476704,"Lowrie, Jed","2033","12.6","0.291","0.154","0.266","0.445","0.311","0.376","0.324","74","254","90.2","15.2","2183","85.6","85.28","0","256","0","-0.3","6.25","112","160","123","149","299","323","296"
"256",518626,"Donaldson, Josh","2125","12.0","0.277","0.233","0.230","0.510","0.321","0.389","0.324","69","249","93.0","12.9","2203","86.1","86.26","0","256","0","0.2","6.25","107","154","122","146","304","325","295"
"256",650402,"Torres, Gleyber","2078","12.3","0.365","0.131","0.349","0.496","0.366","0.379","0.353","92","252","84.4","13.3","2214","86.1","86.18","0","256","0","0.1","6.34","106","153","120","146","302","325","287"
"255",663624,"Mountcastle, Ryan","2295","11.1","0.381","0.349","0.315","0.730","0.460","0.434","0.361","96","252","88.7","16.2","2204","85.5","85.22","0","255","0","-0.3","6.35","108","153","122","148","303","325","290"
"255",543939,"Wong, Kolten","1815","14.0","0.345","0.238","0.311","0.583","0.387","0.325","0.303","87","252","86.4","11.0","2156","86.3","85.70","0","255","0","-0.6","6.24","114","151","109","151","292","319","300"
"254",516782,"Marte, Starling","1969","12.9","0.389","0.198","0.365","0.587","0.413","0.398","0.360","98","252","85.9","4.8","2226","85.5","85.23","0","254","0","-0.3","6.30","105","151","110","147","304","321","289"
"254",547180,"Harper, Bryce","2401","10.6","0.423","0.379","0.366","0.802","0.505","0.496","0.397","105","248","89.3","11.9","2149","85.7","85.64","0","254","0","-0.1","6.24","115","159","130","150","297","327","301"
"253",642086,"Smith, Dominic","1849","13.7","0.355","0.194","0.321","0.548","0.376","0.407","0.362","88","248","88.2","14.8","2207","85.6","84.86","0","253","0","-0.7","6.28","113","155","127","147","293","322","302"
"252",572191,"Taylor, Michael A.","2113","11.9","0.364","0.150","0.339","0.514","0.371","0.383","0.358","90","247","88.0","13.6","2241","86.5","86.32","0","252","0","-0.2","6.18","105","151","111","146","305","325","295"
"252",669720,"Hays, Austin","1957","12.9","0.351","0.298","0.302","0.649","0.417","0.373","0.322","87","248","87.6","11.5","2185","86.2","85.28","0","252","0","-0.9","6.37","105","152","116","147","299","323","289"
"252",408234,"Cabrera, Miguel","2035","12.4","0.344","0.193","0.300","0.537","0.363","0.387","0.320","84","244","91.3","9.5","2153","86.7","86.73","0","252","0","0.0","6.24","108","156","123","148","305","328","293"
"251",605141,"Betts, Mookie","2232","11.2","0.331","0.246","0.293","0.577","0.377","0.352","0.319","82","248","89.1","15.7","2256","86.8","86.10","0","251","0","-0.7","6.22","109","153","120","146","302","324","300"
"250",592663,"Realmuto, J.T.","2096","11.9","0.345","0.169","0.325","0.514","0.364","0.367","0.334","86","249","88.2","10.8","2209","86.0","86.04","0","250","0","0.0","6.26","108","153","120","148","303","325","292"
"249",660162,"Moncada, Yoán","2581","9.6","0.409","0.243","0.378","0.652","0.446","0.438","0.389","101","247","89.8","12.0","2140","85.9","86.01","0","249","0","0.1","6.25","113","155","122","149","295","325","299"
